event_id,client_id,event_order,previous_event_id,event_date,event_month,scenario_name,lifecycle_stage,event_type,product,topic,channel,sentiment,status,satisfaction_score,is_complaint,is_purchase,is_repeat,resolution_time_days
event_993373bca03d,C008,4,event_c69e5ebe6d36,2025-04-05,2025-04,complaint_and_leave,жалоба,complaint,Кредитная карта,возврат средств,телефон,negative,resolved,2,True,False,True,11.0
event_a8f7a0d3ddb7,C008,5,event_993373bca03d,2025-05-13,2025-05,complaint_and_leave,уход клиента,churn,Дебетовая карта,комиссия,email,neutral,lost,2,False,False,True,
event_fe437fd3e3d4,C009,1,,2024-11-20,2024-11,complaint_resolved_return,использование продукта,usage,Накопительный счет,изменение персональных данных,сайт,neutral,completed,3,False,False,False,3.0
event_bc755d97b28a,C009,2,event_fe437fd3e3d4,2024-11-28,2024-11,complaint_resolved_return,жалоба,complaint,Ипотека,ошибка в приложении,чат,negative,in_progress,2,True,False,True,
event_afcbbd08ccc2,C009,3,event_bc755d97b28a,2025-01-10,2025-01,complaint_resolved_return,эскалация,escalation,Ипотека,возврат средств,email,neutral,escalated,3,True,False,True,
event_681a0f4b121f,C009,4,event_afcbbd08ccc2,2025-02-17,2025-02,complaint_resolved_return,решение проблемы,problem_resolved,Кредитная карта,техническая ошибка,email,positive,resolved,5,False,False,True,4.0
event_ec4b7dab592d,C009,5,event_681a0f4b121f,2025-03-25,2025-03,complaint_resolved_return,удержание,retention,Страхование,повышение лимита,чат,positive,retained,4,False,False,True,2.0
event_1b7ae55a4026,C009,6,event_ec4b7dab592d,2025-04-28,2025-04,complaint_resolved_return,повторная покупка,repeat_purchase,Потребительский кредит,оформление продукта,email,neutral,completed,4,False,True,True,1.0
event_6517e3a01960,C010,1,,2024-09-30,2024-09,happy_purchase,знакомство,introduction,Инвестиционный счет,оформление продукта,мобильное приложение,positive,completed,5,False,False,False,2.0
event_d768c0c7f4ab,C010,2,event_6517e3a01960,2024-10-24,2024-10,happy_purchase,интерес к продукту,product_interest,Инвестиционный счет,консультация по тарифам,чат,neutral,completed,4,False,False,True,1.0
event_8b188eea9d21,C010,3,event_d768c0c7f4ab,2024-11-14,2024-11,happy_purchase,консультация,consultation,Инвестиционный счет,условия продукта,офис,neutral,completed,5,False,False,True,1.0
event_d71ea6919cd3,C010,4,event_8b188eea9d21,2024-11-23,2024-11,happy_purchase,покупка,purchase,Потребительский кредит,условия продукта,офис,positive,completed,5,False,True,True,2.0
event_25b4a89b3bef,C010,5,event_d71ea6919cd3,2024-12-18,2024-12,happy_purchase,использование продукта,usage,Потребительский кредит,комиссия,чат,positive,completed,5,False,False,True,2.0
event_0f5db095f94f,C010,6,event_25b4a89b3bef,2025-01-04,2025-01,happy_purchase,вопрос в поддержку,support_question,Потребительский кредит,техническая ошибка,офис,neutral,in_progress,4,False,False,True,
event_4f871ce9f1bd,C010,7,event_0f5db095f94f,2025-01-20,2025-01,happy_purchase,решение проблемы,problem_resolved,Инвестиционный счет,жалоба на обслуживание,офис,negative,resolved,5,False,False,True,1.0
event_31297d57fdf6,C011,1,,2024-10-07,2024-10,repeat_purchase,знакомство,introduction,Ипотека,консультация по тарифам,чат,neutral,completed,5,False,False,False,2.0
event_b4e5147fcef4,C011,2,event_31297d57fdf6,2024-11-06,2024-11,repeat_purchase,интерес к продукту,product_interest,Страхование,повышение лимита,мобильное приложение,positive,completed,5,False,False,True,2.0
event_2ec6a02eb4ee,C011,3,event_b4e5147fcef4,2024-11-17,2024-11,repeat_purchase,покупка,purchase,Накопительный счет,условия продукта,мобильное приложение,neutral,completed,5,False,True,True,2.0
event_bf8e68242dbf,C011,4,event_2ec6a02eb4ee,2024-12-02,2024-12,repeat_purchase,использование продукта,usage,Страхование,условия продукта,мобильное приложение,negative,completed,3,False,False,True,0.0
event_b5990ddd8e29,C011,5,event_bf8e68242dbf,2025-01-02,2025-01,repeat_purchase,консультация,consultation,Страхование,изменение персональных данных,мобильное приложение,neutral,completed,5,False,False,True,3.0
event_9c0778bd1c34,C011,6,event_b5990ddd8e29,2025-02-04,2025-02,repeat_purchase,повторная покупка,repeat_purchase,Дебетовая карта,оформление продукта,email,positive,completed,5,False,True,True,0.0
event_a172b5c9ad5c,C011,7,event_9c0778bd1c34,2025-02-24,2025-02,repeat_purchase,использование продукта,usage,Страхование,условия продукта,чат,positive,completed,5,False,False,True,2.0
event_dee79f911a48,C011,8,event_a172b5c9ad5c,2025-03-06,2025-03,repeat_purchase,повторная покупка,repeat_purchase,Инвестиционный счет,оформление продукта,мобильное приложение,positive,completed,4,False,True,True,1.0
event_01e204b94ee1,C011,9,event_dee79f911a48,2025-04-20,2025-04,repeat_purchase,повторная покупка,repeat_purchase,Кредитная карта,повторная покупка,мобильное приложение,neutral,completed,4,False,True,True,0.0
event_a461a9c10bb9,C011,10,event_01e204b94ee1,2025-05-01,2025-05,repeat_purchase,повторная покупка,repeat_purchase,Потребительский кредит,условия продукта,мобильное приложение,positive,completed,4,False,True,True,1.0
event_28f0d477a5e4,C011,11,event_a461a9c10bb9,2025-05-25,2025-05,repeat_purchase,повторная покупка,repeat_purchase,Ипотека,повторная покупка,мобильное приложение,positive,completed,4,False,True,True,0.0
event_731191183003,C012,1,,2024-09-03,2024-09,complaint_resolved_return,использование продукта,usage,Дебетовая карта,изменение персональных данных,офис,positive,completed,3,False,False,False,2.0
event_3163dbb1dd58,C012,2,event_731191183003,2024-10-06,2024-10,complaint_resolved_return,жалоба,complaint,Дебетовая карта,возврат средств,мобильное приложение,negative,escalated,2,True,False,True,
event_a20ffd583ad5,C012,3,event_3163dbb1dd58,2024-11-14,2024-11,complaint_resolved_return,эскалация,escalation,Дебетовая карта,техническая ошибка,мобильное приложение,negative,escalated,1,True,False,True,
event_4ca74c4f8d6f,C012,4,event_a20ffd583ad5,2024-12-16,2024-12,complaint_resolved_return,решение проблемы,problem_resolved,Дебетовая карта,жалоба на обслуживание,мобильное приложение,neutral,resolved,5,False,False,True,1.0
event_92ec8a803166,C012,5,event_4ca74c4f8d6f,2025-01-30,2025-01,complaint_resolved_return,удержание,retention,Дебетовая карта,консультация по тарифам,email,neutral,retained,5,False,False,True,4.0
event_4e947e9a6033,C012,6,event_92ec8a803166,2025-03-02,2025-03,complaint_resolved_return,повторная покупка,repeat_purchase,Накопительный счет,условия продукта,офис,positive,completed,5,False,True,True,0.0
event_2f01b3a1fc29,C012,7,event_4e947e9a6033,2025-04-13,2025-04,complaint_resolved_return,вопрос в поддержку,support_question,Дебетовая карта,изменение персональных данных,телефон,neutral,resolved,3,False,False,True,7.0
event_f4e9f24b357b,C013,1,,2024-11-15,2024-11,one_touch,знакомство,introduction,Потребительский кредит,консультация по тарифам,сайт,positive,completed,4,False,False,False,2.0
event_1a2b9226c415,C014,1,,2024-08-18,2024-08,loyal_multi_product,знакомство,introduction,Инвестиционный счет,условия продукта,сайт,neutral,completed,5,False,False,False,2.0
event_880a377966a8,C014,2,event_1a2b9226c415,2024-10-01,2024-10,loyal_multi_product,интерес к продукту,product_interest,Инвестиционный счет,повышение лимита,email,neutral,completed,4,False,False,True,2.0
event_cb8713269890,C014,3,event_880a377966a8,2024-10-11,2024-10,loyal_multi_product,покупка,purchase,Потребительский кредит,условия продукта,email,positive,completed,4,False,True,True,0.0
event_724d42d1789c,C014,4,event_cb8713269890,2024-11-01,2024-11,loyal_multi_product,использование продукта,usage,Потребительский кредит,изменение персональных данных,сайт,positive,completed,4,False,False,True,1.0
event_aaa83bff47f9,C014,5,event_724d42d1789c,2024-12-16,2024-12,loyal_multi_product,повторная покупка,repeat_purchase,Ипотека,повторная покупка,сайт,positive,completed,5,False,True,True,1.0
event_7cf7a4a696ab,C014,6,event_aaa83bff47f9,2025-01-03,2025-01,loyal_multi_product,использование продукта,usage,Инвестиционный счет,изменение персональных данных,сайт,positive,completed,3,False,False,True,0.0
event_f01ad024543e,C015,1,,2024-11-05,2024-11,problematic_many_complaints,использование продукта,usage,Накопительный счет,комиссия,сайт,positive,completed,5,False,False,False,2.0
event_e854a4fa7f5b,C015,2,event_f01ad024543e,2024-11-15,2024-11,problematic_many_complaints,жалоба,complaint,Дебетовая карта,просрочка платежа,телефон,neutral,escalated,2,True,False,True,
event_780c95fa24f1,C015,3,event_e854a4fa7f5b,2024-12-18,2024-12,problematic_many_complaints,эскалация,escalation,Дебетовая карта,техническая ошибка,email,negative,escalated,2,True,False,True,
event_d4d88008ca4d,C015,4,event_780c95fa24f1,2025-01-27,2025-01,problematic_many_complaints,решение проблемы,problem_resolved,Дебетовая карта,техническая ошибка,сайт,positive,resolved,4,False,False,True,1.0
event_be602d892628,C015,5,event_d4d88008ca4d,2025-02-16,2025-02,problematic_many_complaints,жалоба,complaint,Накопительный счет,ошибка в приложении,сайт,negative,escalated,1,True,False,True,
event_315214396d17,C015,6,event_be602d892628,2025-03-03,2025-03,problematic_many_complaints,вопрос в поддержку,support_question,Дебетовая карта,техническая ошибка,сайт,positive,resolved,5,False,False,True,1.0
event_c5ee7537bdf4,C015,7,event_315214396d17,2025-03-30,2025-03,problematic_many_complaints,жалоба,complaint,Накопительный счет,просрочка платежа,мобильное приложение,negative,in_progress,2,True,False,True,
event_c66fbad9f077,C015,8,event_c5ee7537bdf4,2025-04-16,2025-04,problematic_many_complaints,эскалация,escalation,Накопительный счет,техническая ошибка,сайт,neutral,escalated,1,True,False,True,
event_37a69ac0b0a6,C015,9,event_c66fbad9f077,2025-05-30,2025-05,problematic_many_complaints,закрытие продукта,product_closure,Дебетовая карта,комиссия,сайт,negative,closed,4,False,False,True,2.0
event_52cf5a4db90a,C015,10,event_37a69ac0b0a6,2025-06-16,2025-06,problematic_many_complaints,уход клиента,churn,Накопительный счет,комиссия,сайт,negative,lost,2,False,False,True,
event_9ac0a2c77c0a,C015,11,event_52cf5a4db90a,2025-07-08,2025-07,problematic_many_complaints,решение проблемы,problem_resolved,Накопительный счет,техническая ошибка,сайт,positive,resolved,4,False,False,True,1.0
event_7d4967c62c86,C015,12,event_9ac0a2c77c0a,2025-08-13,2025-08,problematic_many_complaints,жалоба,complaint,Накопительный счет,просрочка платежа,чат,negative,escalated,3,True,False,True,
event_ba3263fb68e2,C016,1,,2025-01-08,2025-01,complaint_and_leave,знакомство,introduction,Кредитная карта,условия продукта,сайт,neutral,completed,5,False,False,False,2.0
event_1eec34c9d6ac,C016,2,event_ba3263fb68e2,2025-02-06,2025-02,complaint_and_leave,покупка,purchase,Накопительный счет,оформление продукта,мобильное приложение,positive,completed,5,False,True,True,0.0
event_1cd9e5524c45,C016,3,event_1eec34c9d6ac,2025-03-03,2025-03,complaint_and_leave,использование продукта,usage,Ипотека,изменение персональных данных,сайт,neutral,completed,4,False,False,True,3.0
event_56e64ba3dc9a,C016,4,event_1cd9e5524c45,2025-04-07,2025-04,complaint_and_leave,жалоба,complaint,Инвестиционный счет,просрочка платежа,сайт,neutral,escalated,3,True,False,True,
event_794b9a0f37b6,C016,5,event_56e64ba3dc9a,2025-05-12,2025-05,complaint_and_leave,эскалация,escalation,Кредитная карта,жалоба на обслуживание,сайт,negative,escalated,1,True,False,True,
event_8cdb82c9630e,C016,6,event_794b9a0f37b6,2025-06-16,2025-06,complaint_and_leave,уход клиента,churn,Инвестиционный счет,комиссия,офис,negative,lost,2,False,False,True,
event_293fd9715cf6,C017,1,,2024-11-08,2024-11,long_lifecycle,знакомство,introduction,Дебетовая карта,оформление продукта,мобильное приложение,neutral,completed,5,False,False,False,2.0
event_1a168de29bae,C017,2,event_293fd9715cf6,2024-11-21,2024-11,long_lifecycle,интерес к продукту,product_interest,Ипотека,повышение лимита,чат,positive,completed,5,False,False,True,1.0
event_a3ab67050ec8,C017,3,event_1a168de29bae,2025-01-04,2025-01,long_lifecycle,консультация,consultation,Потребительский кредит,условия продукта,чат,negative,completed,5,False,False,True,3.0
event_604dc9f58779,C017,4,event_a3ab67050ec8,2025-01-30,2025-01,long_lifecycle,покупка,purchase,Страхование,условия продукта,чат,positive,completed,5,False,True,True,0.0
event_bc2d0529cad7,C017,5,event_604dc9f58779,2025-03-05,2025-03,long_lifecycle,использование продукта,usage,Дебетовая карта,условия продукта,чат,positive,completed,3,False,False,True,2.0
event_5c5c58e9eb46,C017,6,event_bc2d0529cad7,2025-03-26,2025-03,long_lifecycle,вопрос в поддержку,support_question,Кредитная карта,ошибка в приложении,чат,neutral,resolved,3,False,False,True,5.0
event_645b8f0d7ac7,C017,7,event_5c5c58e9eb46,2025-04-23,2025-04,long_lifecycle,решение проблемы,problem_resolved,Инвестиционный счет,техническая ошибка,чат,positive,resolved,4,False,False,True,2.0
event_3143fb525d29,C017,8,event_645b8f0d7ac7,2025-05-28,2025-05,long_lifecycle,удержание,retention,Страхование,повышение лимита,офис,neutral,retained,4,False,False,True,4.0
event_6e0f45cec684,C017,9,event_3143fb525d29,2025-06-18,2025-06,long_lifecycle,повторная покупка,repeat_purchase,Накопительный счет,повторная покупка,офис,positive,completed,5,False,True,True,0.0
event_37ab80f3e370,C017,10,event_6e0f45cec684,2025-07-24,2025-07,long_lifecycle,использование продукта,usage,Страхование,изменение персональных данных,чат,neutral,completed,3,False,False,True,1.0
event_c11e16d4ef6a,C017,11,event_37ab80f3e370,2025-08-16,2025-08,long_lifecycle,консультация,consultation,Страхование,условия продукта,чат,neutral,completed,3,False,False,True,0.0
event_d4e1bac7722d,C017,12,event_c11e16d4ef6a,2025-09-02,2025-09,long_lifecycle,повторная покупка,repeat_purchase,Ипотека,оформление продукта,чат,neutral,completed,4,False,True,True,1.0
event_e6cce9adca42,C018,1,,2024-11-24,2024-11,one_touch,знакомство,introduction,Дебетовая карта,консультация по тарифам,сайт,positive,completed,5,False,False,False,2.0
event_673480c6a584,C019,1,,2024-08-21,2024-08,complaint_and_leave,жалоба,complaint,Ипотека,ошибка в приложении,чат,negative,escalated,3,True,False,False,
event_852b55ae8ff6,C019,2,event_673480c6a584,2024-08-30,2024-08,complaint_and_leave,уход клиента,churn,Ипотека,комиссия,чат,negative,lost,2,False,False,True,
event_7cf6fe1f85ab,C020,1,,2024-08-21,2024-08,complaint_resolved_return,использование продукта,usage,Дебетовая карта,комиссия,мобильное приложение,neutral,completed,5,False,False,False,3.0
event_9a47a4a80e64,C020,2,event_7cf6fe1f85ab,2024-09-12,2024-09,complaint_resolved_return,жалоба,complaint,Дебетовая карта,комиссия,мобильное приложение,negative,escalated,3,True,False,True,
event_bd0c35bb7dc6,C020,3,event_9a47a4a80e64,2024-10-27,2024-10,complaint_resolved_return,эскалация,escalation,Дебетовая карта,возврат средств,чат,negative,escalated,1,True,False,True,
event_c9fd547bd8c3,C020,4,event_bd0c35bb7dc6,2024-11-18,2024-11,complaint_resolved_return,решение проблемы,problem_resolved,Дебетовая карта,возврат средств,телефон,positive,resolved,5,False,False,True,1.0
event_569ef04a1039,C020,5,event_c9fd547bd8c3,2024-12-19,2024-12,complaint_resolved_return,удержание,retention,Дебетовая карта,повышение лимита,телефон,positive,retained,4,False,False,True,2.0
event_de84b1891874,C020,6,event_569ef04a1039,2025-01-17,2025-01,complaint_resolved_return,повторная покупка,repeat_purchase,Кредитная карта,оформление продукта,email,positive,completed,4,False,True,True,2.0
event_fac32dcf828f,C021,1,,2024-09-04,2024-09,complaint_and_leave,жалоба,complaint,Ипотека,просрочка платежа,email,neutral,escalated,3,True,False,False,
event_93300e115221,C021,2,event_fac32dcf828f,2024-09-22,2024-09,complaint_and_leave,уход клиента,churn,Ипотека,комиссия,мобильное приложение,negative,lost,2,False,False,True,
event_1e79f3245984,C022,1,,2024-09-21,2024-09,complaint_and_leave,использование продукта,usage,Инвестиционный счет,комиссия,чат,positive,completed,4,False,False,False,3.0
event_eaa1eb95ebd7,C022,2,event_1e79f3245984,2024-10-14,2024-10,complaint_and_leave,жалоба,complaint,Инвестиционный счет,ошибка в приложении,чат,negative,resolved,1,True,False,True,8.0
event_4e7ae3596ec3,C022,3,event_eaa1eb95ebd7,2024-11-13,2024-11,complaint_and_leave,уход клиента,churn,Дебетовая карта,комиссия,чат,negative,lost,2,False,False,True,
event_005dbb194333,C023,1,,2024-12-06,2024-12,happy_purchase,знакомство,introduction,Потребительский кредит,оформление продукта,мобильное приложение,positive,completed,3,False,False,False,3.0
event_a122f25f71aa,C023,2,event_005dbb194333,2025-01-20,2025-01,happy_purchase,интерес к продукту,product_interest,Кредитная карта,консультация по тарифам,офис,positive,completed,3,False,False,True,0.0
event_5b7c198b3863,C023,3,event_a122f25f71aa,2025-02-15,2025-02,happy_purchase,консультация,consultation,Ипотека,консультация по тарифам,мобильное приложение,neutral,completed,4,False,False,True,3.0
event_4a37e700a4c3,C024,1,,2025-01-05,2025-01,happy_purchase,знакомство,introduction,Потребительский кредит,оформление продукта,email,negative,completed,3,False,False,False,0.0
event_2f93c12b9343,C024,2,event_4a37e700a4c3,2025-02-04,2025-02,happy_purchase,интерес к продукту,product_interest,Страхование,консультация по тарифам,чат,positive,completed,3,False,False,True,1.0
event_8f387c590f91,C025,1,,2024-08-09,2024-08,happy_purchase,знакомство,introduction,Дебетовая карта,оформление продукта,чат,positive,completed,4,False,False,False,0.0
event_441438e60397,C025,2,event_8f387c590f91,2024-09-13,2024-09,happy_purchase,интерес к продукту,product_interest,Потребительский кредит,повышение лимита,чат,neutral,completed,5,False,False,True,1.0
event_16c059d72069,C026,1,,2024-11-10,2024-11,short_support,знакомство,introduction,Инвестиционный счет,условия продукта,телефон,negative,completed,3,False,False,False,1.0
event_ac67b3c3aba8,C026,2,event_16c059d72069,2024-12-22,2024-12,short_support,вопрос в поддержку,support_question,Инвестиционный счет,изменение персональных данных,телефон,positive,resolved,5,False,False,True,4.0
event_2ab5f4b56b35,C026,3,event_ac67b3c3aba8,2025-01-06,2025-01,short_support,решение проблемы,problem_resolved,Ипотека,техническая ошибка,email,neutral,resolved,5,False,False,True,1.0
event_1984bd2072f5,C027,1,,2025-01-18,2025-01,complaint_and_leave,использование продукта,usage,Страхование,изменение персональных данных,офис,neutral,completed,4,False,False,False,1.0
event_40abdee785ad,C027,2,event_1984bd2072f5,2025-02-17,2025-02,complaint_and_leave,жалоба,complaint,Страхование,комиссия,мобильное приложение,negative,escalated,1,True,False,True,
event_9c644e806eb3,C027,3,event_40abdee785ad,2025-03-31,2025-03,complaint_and_leave,уход клиента,churn,Страхование,комиссия,мобильное приложение,neutral,lost,1,False,False,True,
event_4a2a3516b6b0,C028,1,,2024-11-10,2024-11,complaint_resolved_return,использование продукта,usage,Страхование,условия продукта,сайт,neutral,completed,4,False,False,False,0.0
event_1b8c0b245bc3,C028,2,event_4a2a3516b6b0,2024-11-21,2024-11,complaint_resolved_return,жалоба,complaint,Накопительный счет,комиссия,телефон,negative,escalated,3,True,False,True,
event_047691e49e5e,C028,3,event_1b8c0b245bc3,2024-12-25,2024-12,complaint_resolved_return,эскалация,escalation,Дебетовая карта,жалоба на обслуживание,телефон,negative,escalated,2,True,False,True,
event_a8b7981d734a,C028,4,event_047691e49e5e,2025-01-21,2025-01,complaint_resolved_return,решение проблемы,problem_resolved,Кредитная карта,блокировка карты,телефон,neutral,resolved,5,False,False,True,1.0
event_e346253f3775,C028,5,event_a8b7981d734a,2025-03-04,2025-03,complaint_resolved_return,удержание,retention,Накопительный счет,повышение лимита,телефон,positive,retained,5,False,False,True,1.0
event_4c40be4187ce,C028,6,event_e346253f3775,2025-03-21,2025-03,complaint_resolved_return,повторная покупка,repeat_purchase,Страхование,условия продукта,телефон,neutral,completed,5,False,True,True,2.0
event_fe68a434f384,C029,1,,2024-08-21,2024-08,complaint_and_leave,жалоба,complaint,Кредитная карта,просрочка платежа,мобильное приложение,neutral,in_progress,3,True,False,False,
event_8c9b8b24a51c,C029,2,event_fe68a434f384,2024-09-28,2024-09,complaint_and_leave,уход клиента,churn,Инвестиционный счет,жалоба на обслуживание,мобильное приложение,negative,lost,2,False,False,True,
event_f8b3d29dfbdd,C030,1,,2025-01-23,2025-01,loyal_multi_product,знакомство,introduction,Инвестиционный счет,условия продукта,телефон,neutral,completed,3,False,False,False,3.0
event_732177d7e241,C030,2,event_f8b3d29dfbdd,2025-02-28,2025-02,loyal_multi_product,интерес к продукту,product_interest,Инвестиционный счет,повышение лимита,офис,neutral,completed,4,False,False,True,2.0
event_72d3ee9df974,C030,3,event_732177d7e241,2025-03-30,2025-03,loyal_multi_product,покупка,purchase,Страхование,оформление продукта,офис,positive,completed,5,False,True,True,0.0
event_154df8b52a04,C030,4,event_72d3ee9df974,2025-04-21,2025-04,loyal_multi_product,использование продукта,usage,Инвестиционный счет,условия продукта,офис,negative,completed,5,False,False,True,3.0
event_914bc2b32205,C030,5,event_154df8b52a04,2025-05-18,2025-05,loyal_multi_product,повторная покупка,repeat_purchase,Накопительный счет,условия продукта,чат,positive,completed,4,False,True,True,1.0
event_d4148e149005,C030,6,event_914bc2b32205,2025-06-25,2025-06,loyal_multi_product,использование продукта,usage,Ипотека,комиссия,офис,positive,completed,4,False,False,True,3.0
event_709479fb7e8e,C030,7,event_d4148e149005,2025-08-08,2025-08,loyal_multi_product,вопрос в поддержку,support_question,Инвестиционный счет,техническая ошибка,офис,neutral,resolved,5,False,False,True,3.0
event_63d733506b6a,C030,8,event_709479fb7e8e,2025-08-21,2025-08,loyal_multi_product,решение проблемы,problem_resolved,Страхование,блокировка карты,офис,neutral,resolved,5,False,False,True,1.0
event_0cedd8d68f42,C031,1,,2024-12-24,2024-12,one_touch,знакомство,introduction,Потребительский кредит,оформление продукта,чат,positive,completed,4,False,False,False,3.0
