source,target,relation
Client::C014,Event::event_7cf7a4a696ab,CLIENT_HAS_EVENT
Client::C014,Event::event_880a377966a8,CLIENT_HAS_EVENT
Client::C014,Event::event_aaa83bff47f9,CLIENT_HAS_EVENT
Client::C014,Event::event_cb8713269890,CLIENT_HAS_EVENT
Client::C015,Event::event_315214396d17,CLIENT_HAS_EVENT
Client::C015,Event::event_37a69ac0b0a6,CLIENT_HAS_EVENT
Client::C015,Event::event_52cf5a4db90a,CLIENT_HAS_EVENT
Client::C015,Event::event_780c95fa24f1,CLIENT_HAS_EVENT
Client::C015,Event::event_7d4967c62c86,CLIENT_HAS_EVENT
Client::C015,Event::event_9ac0a2c77c0a,CLIENT_HAS_EVENT
Client::C015,Event::event_be602d892628,CLIENT_HAS_EVENT
Client::C015,Event::event_c5ee7537bdf4,CLIENT_HAS_EVENT
Client::C015,Event::event_c66fbad9f077,CLIENT_HAS_EVENT
Client::C015,Event::event_d4d88008ca4d,CLIENT_HAS_EVENT
Client::C015,Event::event_e854a4fa7f5b,CLIENT_HAS_EVENT
Client::C015,Event::event_f01ad024543e,CLIENT_HAS_EVENT
Client::C016,Event::event_1cd9e5524c45,CLIENT_HAS_EVENT
Client::C016,Event::event_1eec34c9d6ac,CLIENT_HAS_EVENT
Client::C016,Event::event_56e64ba3dc9a,CLIENT_HAS_EVENT
Client::C016,Event::event_794b9a0f37b6,CLIENT_HAS_EVENT
Client::C016,Event::event_8cdb82c9630e,CLIENT_HAS_EVENT
Client::C016,Event::event_ba3263fb68e2,CLIENT_HAS_EVENT
Client::C017,Event::event_1a168de29bae,CLIENT_HAS_EVENT
Client::C017,Event::event_293fd9715cf6,CLIENT_HAS_EVENT
Client::C017,Event::event_3143fb525d29,CLIENT_HAS_EVENT
Client::C017,Event::event_37ab80f3e370,CLIENT_HAS_EVENT
Client::C017,Event::event_5c5c58e9eb46,CLIENT_HAS_EVENT
Client::C017,Event::event_604dc9f58779,CLIENT_HAS_EVENT
Client::C017,Event::event_645b8f0d7ac7,CLIENT_HAS_EVENT
Client::C017,Event::event_6e0f45cec684,CLIENT_HAS_EVENT
Client::C017,Event::event_a3ab67050ec8,CLIENT_HAS_EVENT
Client::C017,Event::event_bc2d0529cad7,CLIENT_HAS_EVENT
Client::C017,Event::event_c11e16d4ef6a,CLIENT_HAS_EVENT
Client::C017,Event::event_d4e1bac7722d,CLIENT_HAS_EVENT
Client::C018,Event::event_e6cce9adca42,CLIENT_HAS_EVENT
Client::C019,Event::event_673480c6a584,CLIENT_HAS_EVENT
Client::C019,Event::event_852b55ae8ff6,CLIENT_HAS_EVENT
Client::C020,Event::event_569ef04a1039,CLIENT_HAS_EVENT
Client::C020,Event::event_7cf6fe1f85ab,CLIENT_HAS_EVENT
Client::C020,Event::event_9a47a4a80e64,CLIENT_HAS_EVENT
Client::C020,Event::event_bd0c35bb7dc6,CLIENT_HAS_EVENT
Client::C020,Event::event_c9fd547bd8c3,CLIENT_HAS_EVENT
Client::C020,Event::event_de84b1891874,CLIENT_HAS_EVENT
Client::C021,Event::event_93300e115221,CLIENT_HAS_EVENT
Client::C021,Event::event_fac32dcf828f,CLIENT_HAS_EVENT
Client::C022,Event::event_1e79f3245984,CLIENT_HAS_EVENT
Client::C022,Event::event_4e7ae3596ec3,CLIENT_HAS_EVENT
Client::C022,Event::event_eaa1eb95ebd7,CLIENT_HAS_EVENT
Client::C023,Event::event_005dbb194333,CLIENT_HAS_EVENT
Client::C023,Event::event_5b7c198b3863,CLIENT_HAS_EVENT
Client::C023,Event::event_a122f25f71aa,CLIENT_HAS_EVENT
Client::C024,Event::event_2f93c12b9343,CLIENT_HAS_EVENT
Client::C024,Event::event_4a37e700a4c3,CLIENT_HAS_EVENT
Client::C025,Event::event_441438e60397,CLIENT_HAS_EVENT
Client::C025,Event::event_8f387c590f91,CLIENT_HAS_EVENT
Client::C026,Event::event_16c059d72069,CLIENT_HAS_EVENT
Client::C026,Event::event_2ab5f4b56b35,CLIENT_HAS_EVENT
Client::C026,Event::event_ac67b3c3aba8,CLIENT_HAS_EVENT
Client::C027,Event::event_1984bd2072f5,CLIENT_HAS_EVENT
Client::C027,Event::event_40abdee785ad,CLIENT_HAS_EVENT
Client::C027,Event::event_9c644e806eb3,CLIENT_HAS_EVENT
Client::C028,Event::event_047691e49e5e,CLIENT_HAS_EVENT
Client::C028,Event::event_1b8c0b245bc3,CLIENT_HAS_EVENT
Client::C028,Event::event_4a2a3516b6b0,CLIENT_HAS_EVENT
Client::C028,Event::event_4c40be4187ce,CLIENT_HAS_EVENT
Client::C028,Event::event_a8b7981d734a,CLIENT_HAS_EVENT
Client::C028,Event::event_e346253f3775,CLIENT_HAS_EVENT
Client::C029,Event::event_8c9b8b24a51c,CLIENT_HAS_EVENT
Client::C029,Event::event_fe68a434f384,CLIENT_HAS_EVENT
Client::C030,Event::event_154df8b52a04,CLIENT_HAS_EVENT
Client::C030,Event::event_63d733506b6a,CLIENT_HAS_EVENT
Client::C030,Event::event_709479fb7e8e,CLIENT_HAS_EVENT
Client::C030,Event::event_72d3ee9df974,CLIENT_HAS_EVENT
Client::C030,Event::event_732177d7e241,CLIENT_HAS_EVENT
Client::C030,Event::event_914bc2b32205,CLIENT_HAS_EVENT
Client::C030,Event::event_d4148e149005,CLIENT_HAS_EVENT
Client::C030,Event::event_f8b3d29dfbdd,CLIENT_HAS_EVENT
Client::C031,Event::event_0cedd8d68f42,CLIENT_HAS_EVENT
Client::C032,Event::event_57dd986b4882,CLIENT_HAS_EVENT
Client::C032,Event::event_5abb571c5117,CLIENT_HAS_EVENT
Client::C032,Event::event_b1f09822f639,CLIENT_HAS_EVENT
Client::C032,Event::event_bd8bcd07b57e,CLIENT_HAS_EVENT
Client::C032,Event::event_f1e9d659c730,CLIENT_HAS_EVENT
Client::C033,Event::event_1abb12a15b95,CLIENT_HAS_EVENT
Client::C033,Event::event_7ba092af714b,CLIENT_HAS_EVENT
Client::C034,Event::event_7467e1f53e11,CLIENT_HAS_EVENT
Client::C034,Event::event_9123926b3608,CLIENT_HAS_EVENT
Client::C034,Event::event_992265af59e7,CLIENT_HAS_EVENT
Client::C034,Event::event_a19379081937,CLIENT_HAS_EVENT
Client::C034,Event::event_e059a5856228,CLIENT_HAS_EVENT
Client::C035,Event::event_0603c7fc1130,CLIENT_HAS_EVENT
Client::C035,Event::event_10c25891fbda,CLIENT_HAS_EVENT
Client::C035,Event::event_2eaeb68603d7,CLIENT_HAS_EVENT
Client::C035,Event::event_348be7346fb7,CLIENT_HAS_EVENT
Client::C035,Event::event_4f215353ec22,CLIENT_HAS_EVENT
Client::C035,Event::event_60c6aec57ebd,CLIENT_HAS_EVENT
Client::C035,Event::event_a430da8b72be,CLIENT_HAS_EVENT
Client::C035,Event::event_c99facc16dd8,CLIENT_HAS_EVENT
Client::C035,Event::event_ee4f49a3b398,CLIENT_HAS_EVENT
Client::C035,Event::event_ffc587b1db9e,CLIENT_HAS_EVENT
Client::C036,Event::event_169ee995e6d1,CLIENT_HAS_EVENT
Client::C036,Event::event_1e24bd1e959c,CLIENT_HAS_EVENT
Client::C036,Event::event_4ca460af6928,CLIENT_HAS_EVENT
Client::C036,Event::event_cfb60056cc33,CLIENT_HAS_EVENT
Client::C036,Event::event_d86bbedebbde,CLIENT_HAS_EVENT
Client::C036,Event::event_f1d9a60c299d,CLIENT_HAS_EVENT
Client::C036,Event::event_f3417982ce56,CLIENT_HAS_EVENT
Client::C036,Event::event_f74ea6506987,CLIENT_HAS_EVENT
Client::C037,Event::event_9061bb01cff7,CLIENT_HAS_EVENT
Client::C038,Event::event_0675734700e1,CLIENT_HAS_EVENT
Client::C038,Event::event_3bd032dadf3a,CLIENT_HAS_EVENT
Client::C038,Event::event_7d5785e0bf41,CLIENT_HAS_EVENT
Client::C038,Event::event_83f1aaa4343d,CLIENT_HAS_EVENT
Client::C038,Event::event_a5240b8f5ec4,CLIENT_HAS_EVENT
Client::C038,Event::event_c49c7657cd4b,CLIENT_HAS_EVENT
Client::C038,Event::event_c98eed443026,CLIENT_HAS_EVENT
Client::C039,Event::event_04b1ad977154,CLIENT_HAS_EVENT
Client::C039,Event::event_1b62139f57e9,CLIENT_HAS_EVENT
Client::C039,Event::event_68fa4b037b07,CLIENT_HAS_EVENT
Client::C039,Event::event_7122f74f5916,CLIENT_HAS_EVENT
Client::C039,Event::event_ad86c3b9249f,CLIENT_HAS_EVENT
Client::C039,Event::event_b081149bf60d,CLIENT_HAS_EVENT
Client::C040,Event::event_14b04203f743,CLIENT_HAS_EVENT
Client::C041,Event::event_018ef199ad16,CLIENT_HAS_EVENT
Client::C041,Event::event_1315f43b9ad3,CLIENT_HAS_EVENT
Client::C041,Event::event_54961ad78c04,CLIENT_HAS_EVENT
Client::C041,Event::event_62cf9e35e01b,CLIENT_HAS_EVENT
Client::C041,Event::event_b3954eeca9e2,CLIENT_HAS_EVENT
Client::C042,Event::event_2becb5ce4b6b,CLIENT_HAS_EVENT
Client::C042,Event::event_656353341612,CLIENT_HAS_EVENT
Client::C042,Event::event_668716fa5460,CLIENT_HAS_EVENT
Client::C042,Event::event_8b3d4b34b894,CLIENT_HAS_EVENT
Client::C042,Event::event_dc8caaca728d,CLIENT_HAS_EVENT
Client::C042,Event::event_fca8868fa5fe,CLIENT_HAS_EVENT
Client::C042,Event::event_fe07231b16b9,CLIENT_HAS_EVENT
Client::C043,Event::event_05d3dff4256f,CLIENT_HAS_EVENT
Client::C043,Event::event_0b7edc594afd,CLIENT_HAS_EVENT
Client::C043,Event::event_5d87fb0d500f,CLIENT_HAS_EVENT
Client::C043,Event::event_9ec728605a34,CLIENT_HAS_EVENT
Client::C043,Event::event_cbcaed27118b,CLIENT_HAS_EVENT
Client::C044,Event::event_912be879b778,CLIENT_HAS_EVENT
Client::C045,Event::event_05228b6dd178,CLIENT_HAS_EVENT
Client::C045,Event::event_22c136c0ba19,CLIENT_HAS_EVENT
Client::C045,Event::event_290849618577,CLIENT_HAS_EVENT
Client::C045,Event::event_42fe7392948e,CLIENT_HAS_EVENT
Client::C045,Event::event_bdbd248e7958,CLIENT_HAS_EVENT
Client::C046,Event::event_0199e3955865,CLIENT_HAS_EVENT
Client::C046,Event::event_20d03315c9a3,CLIENT_HAS_EVENT
Client::C046,Event::event_4c0c79e2b2bb,CLIENT_HAS_EVENT
Client::C046,Event::event_79f856de5d3a,CLIENT_HAS_EVENT
Client::C046,Event::event_7b20c3cf48ef,CLIENT_HAS_EVENT
Client::C046,Event::event_99c5681b4262,CLIENT_HAS_EVENT
Client::C046,Event::event_d1d2d046f009,CLIENT_HAS_EVENT
Client::C046,Event::event_dbee8fc7655a,CLIENT_HAS_EVENT
Client::C046,Event::event_e42e836c5490,CLIENT_HAS_EVENT
Client::C047,Event::event_0be825338bf1,CLIENT_HAS_EVENT
Client::C047,Event::event_40ec4ea8ce5f,CLIENT_HAS_EVENT
Client::C047,Event::event_6e5bef8925ac,CLIENT_HAS_EVENT
Client::C047,Event::event_817cdf84ce45,CLIENT_HAS_EVENT
Client::C047,Event::event_abe212840fef,CLIENT_HAS_EVENT
Client::C048,Event::event_01c86a80c366,CLIENT_HAS_EVENT
Client::C048,Event::event_67d6eb7a52e3,CLIENT_HAS_EVENT
Client::C048,Event::event_89f58a9c303d,CLIENT_HAS_EVENT
Client::C048,Event::event_c7b56b517d9e,CLIENT_HAS_EVENT
Client::C048,Event::event_dd28fbb40f25,CLIENT_HAS_EVENT
Client::C048,Event::event_e48895189837,CLIENT_HAS_EVENT
Client::C048,Event::event_fb84c9525fb2,CLIENT_HAS_EVENT
Client::C049,Event::event_30f7917b9982,CLIENT_HAS_EVENT
Client::C049,Event::event_3cf2d02c98b0,CLIENT_HAS_EVENT
Client::C049,Event::event_3eaffd63f9b3,CLIENT_HAS_EVENT
Client::C049,Event::event_942d32ad8213,CLIENT_HAS_EVENT
Client::C049,Event::event_aad82a6c7be5,CLIENT_HAS_EVENT
Client::C049,Event::event_efdf237f32d4,CLIENT_HAS_EVENT
Client::C050,Event::event_24b00571fa17,CLIENT_HAS_EVENT
Client::C001,Scenario::problematic_many_complaints,CLIENT_IN_SCENARIO
Client::C002,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C003,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C004,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C005,Scenario::loyal_multi_product,CLIENT_IN_SCENARIO
Client::C006,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C007,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C008,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C009,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C010,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C011,Scenario::repeat_purchase,CLIENT_IN_SCENARIO
Client::C012,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C013,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C014,Scenario::loyal_multi_product,CLIENT_IN_SCENARIO
Client::C015,Scenario::problematic_many_complaints,CLIENT_IN_SCENARIO
Client::C016,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C017,Scenario::long_lifecycle,CLIENT_IN_SCENARIO
Client::C018,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C019,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C020,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C021,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C022,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C023,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C024,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C025,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C026,Scenario::short_support,CLIENT_IN_SCENARIO
Client::C027,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C028,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C029,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C030,Scenario::loyal_multi_product,CLIENT_IN_SCENARIO
Client::C031,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C032,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C033,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C034,Scenario::repeat_purchase,CLIENT_IN_SCENARIO
Client::C035,Scenario::long_lifecycle,CLIENT_IN_SCENARIO
Client::C036,Scenario::loyal_multi_product,CLIENT_IN_SCENARIO
Client::C037,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C038,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C039,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C040,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C041,Scenario::complaint_resolved_return,CLIENT_IN_SCENARIO
Client::C042,Scenario::repeat_purchase,CLIENT_IN_SCENARIO
Client::C043,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C044,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C045,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C046,Scenario::long_lifecycle,CLIENT_IN_SCENARIO
Client::C047,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C048,Scenario::happy_purchase,CLIENT_IN_SCENARIO
Client::C049,Scenario::complaint_and_leave,CLIENT_IN_SCENARIO
Client::C050,Scenario::one_touch,CLIENT_IN_SCENARIO
Client::C001,Segment::sleeping,CLIENT_IN_SEGMENT
Client::C002,Segment::new,CLIENT_IN_SEGMENT
Client::C003,Segment::regular,CLIENT_IN_SEGMENT
Client::C004,Segment::new,CLIENT_IN_SEGMENT
Client::C005,Segment::regular,CLIENT_IN_SEGMENT
Client::C006,Segment::sleeping,CLIENT_IN_SEGMENT
Client::C007,Segment::problematic,CLIENT_IN_SEGMENT
Client::C008,Segment::loyal,CLIENT_IN_SEGMENT
Client::C009,Segment::new,CLIENT_IN_SEGMENT
Client::C010,Segment::sleeping,CLIENT_IN_SEGMENT
Client::C011,Segment::premium,CLIENT_IN_SEGMENT
Client::C012,Segment::loyal,CLIENT_IN_SEGMENT
Client::C013,Segment::regular,CLIENT_IN_SEGMENT
Client::C014,Segment::risk,CLIENT_IN_SEGMENT
Client::C015,Segment::problematic,CLIENT_IN_SEGMENT
Client::C016,Segment::premium,CLIENT_IN_SEGMENT
Client::C017,Segment::risk,CLIENT_IN_SEGMENT
Client::C018,Segment::new,CLIENT_IN_SEGMENT
Client::C019,Segment::premium,CLIENT_IN_SEGMENT
Client::C020,Segment::risk,CLIENT_IN_SEGMENT
Client::C021,Segment::problematic,CLIENT_IN_SEGMENT
Client::C022,Segment::problematic,CLIENT_IN_SEGMENT
Client::C023,Segment::premium,CLIENT_IN_SEGMENT
Client::C024,Segment::loyal,CLIENT_IN_SEGMENT
Client::C025,Segment::new,CLIENT_IN_SEGMENT
Client::C026,Segment::new,CLIENT_IN_SEGMENT
Client::C027,Segment::premium,CLIENT_IN_SEGMENT
Client::C028,Segment::risk,CLIENT_IN_SEGMENT
Client::C029,Segment::regular,CLIENT_IN_SEGMENT
Client::C030,Segment::new,CLIENT_IN_SEGMENT
Client::C031,Segment::regular,CLIENT_IN_SEGMENT
Client::C032,Segment::new,CLIENT_IN_SEGMENT
Client::C033,Segment::loyal,CLIENT_IN_SEGMENT
Client::C034,Segment::regular,CLIENT_IN_SEGMENT
Client::C035,Segment::new,CLIENT_IN_SEGMENT
Client::C036,Segment::problematic,CLIENT_IN_SEGMENT
Client::C037,Segment::regular,CLIENT_IN_SEGMENT
Client::C038,Segment::loyal,CLIENT_IN_SEGMENT
Client::C039,Segment::risk,CLIENT_IN_SEGMENT
Client::C040,Segment::new,CLIENT_IN_SEGMENT
Client::C041,Segment::regular,CLIENT_IN_SEGMENT
Client::C042,Segment::regular,CLIENT_IN_SEGMENT
Client::C043,Segment::new,CLIENT_IN_SEGMENT
Client::C044,Segment::new,CLIENT_IN_SEGMENT
Client::C045,Segment::regular,CLIENT_IN_SEGMENT
Client::C046,Segment::premium,CLIENT_IN_SEGMENT
Client::C047,Segment::problematic,CLIENT_IN_SEGMENT
Client::C048,Segment::regular,CLIENT_IN_SEGMENT
Client::C049,Segment::risk,CLIENT_IN_SEGMENT
Client::C050,Segment::regular,CLIENT_IN_SEGMENT
Event::event_004fc7ecd9a4,Product::Кредитная карта,EVENT_ABOUT_PRODUCT
Event::event_005dbb194333,Product::Потребительский кредит,EVENT_ABOUT_PRODUCT
Event::event_018ef199ad16,Product::Ипотека,EVENT_ABOUT_PRODUCT
Event::event_0199e3955865,Product::Страхование,EVENT_ABOUT_PRODUCT
Event::event_01c86a80c366,Product::Накопительный счет,EVENT_ABOUT_PRODUCT
Event::event_01e204b94ee1,Product::Кредитная карта,EVENT_ABOUT_PRODUCT
Event::event_047691e49e5e,Product::Дебетовая карта,EVENT_ABOUT_PRODUCT
Event::event_04b1ad977154,Product::Накопительный счет,EVENT_ABOUT_PRODUCT
Event::event_05228b6dd178,Product::Дебетовая карта,EVENT_ABOUT_PRODUCT
Event::event_05d3dff4256f,Product::Дебетовая карта,EVENT_ABOUT_PRODUCT
Event::event_0603c7fc1130,Product::Ипотека,EVENT_ABOUT_PRODUCT
Event::event_0675734700e1,Product::Дебетовая карта,EVENT_ABOUT_PRODUCT
Event::event_083e4c73eb20,Product::Страхование,EVENT_ABOUT_PRODUCT
Event::event_0a092504170b,Product::Кредитная карта,EVENT_ABOUT_PRODUCT
Event::event_0b7edc594afd,Product::Потребительский кредит,EVENT_ABOUT_PRODUCT
Event::event_0be825338bf1,Product::Кредитная карта,EVENT_ABOUT_PRODUCT
Event::event_0cedd8d68f42,Product::Потребительский кредит,EVENT_ABOUT_PRODUCT
Event::event_0d8e4d9e5b33,Product::Страхование,EVENT_ABOUT_PRODUCT
Event::event_0f5db095f94f,Product::Потребительский кредит,EVENT_ABOUT_PRODUCT
